GeneA	edgeType	GeneB	relation_sif	count
FGF4	controls-state-change-of	AKT2	FGF4 controls-state-change-of AKT2	1
AKT1	controls-state-change-of	MDM4	AKT1 controls-state-change-of MDM4	3
JAK2	controls-state-change-of	AKT2	JAK2 controls-state-change-of AKT2	10
FGF4	controls-state-change-of	AKT1	FGF4 controls-state-change-of AKT1	4
NTRK1	controls-state-change-of	STAT5B	NTRK1 controls-state-change-of STAT5B	1
CDK6	controls-state-change-of	STAT5A	CDK6 controls-state-change-of STAT5A	1
PRKAR1A	controls-state-change-of	STAT5A	PRKAR1A controls-state-change-of STAT5A	1
BRAF	controls-state-change-of	AKT2	BRAF controls-state-change-of AKT2	10
PRKAR1A	controls-state-change-of	STAT5B	PRKAR1A controls-state-change-of STAT5B	1
AKT1	controls-state-change-of	BRCA1	AKT1 controls-state-change-of BRCA1	3
NF1	controls-expression-of	MTAP	NF1 controls-expression-of MTAP	1
PIK3CA	controls-state-change-of	CD79B	PIK3CA controls-state-change-of CD79B	2
PIK3R1	controls-state-change-of	TP53	PIK3R1 controls-state-change-of TP53	1
RUNX1	controls-expression-of	INPPL1	RUNX1 controls-expression-of INPPL1	2
CTNNB1	controls-state-change-of	EGFR	CTNNB1 controls-state-change-of EGFR	1
PRKCQ	controls-state-change-of	AKT2	PRKCQ controls-state-change-of AKT2	10
MYB	controls-expression-of	KIT	MYB controls-expression-of KIT	8
FGF19	controls-state-change-of	CD79B	FGF19 controls-state-change-of CD79B	2
MYC	controls-state-change-of	HIST1H3B	MYC controls-state-change-of HIST1H3B	1
INSR	controls-state-change-of	AKT1	INSR controls-state-change-of AKT1	2
FLT1	controls-state-change-of	AKT1	FLT1 controls-state-change-of AKT1	3
PIK3CA	controls-state-change-of	AKT2	PIK3CA controls-state-change-of AKT2	11
PAK1	controls-state-change-of	RAF1	PAK1 controls-state-change-of RAF1	1
MYC	controls-expression-of	ERBB2	MYC controls-expression-of ERBB2	10
E2F3	controls-expression-of	CCNE1	E2F3 controls-expression-of CCNE1	1
RB1	controls-state-change-of	HIST1H3B	RB1 controls-state-change-of HIST1H3B	1
RAF1	controls-expression-of	RB1	RAF1 controls-expression-of RB1	1
FGFR2	controls-state-change-of	PRKCE	FGFR2 controls-state-change-of PRKCE	8
PIK3CA	controls-state-change-of	PIK3R1	PIK3CA controls-state-change-of PIK3R1	1
VEGFA	controls-state-change-of	TP53	VEGFA controls-state-change-of TP53	3
STAT5B	controls-expression-of	RARA	STAT5B controls-expression-of RARA	1
KIT	controls-state-change-of	FGF19	KIT controls-state-change-of FGF19	6
KRAS	controls-state-change-of	BRAF	KRAS controls-state-change-of BRAF	9
CTNNB1	controls-state-change-of	MYC	CTNNB1 controls-state-change-of MYC	1
CDKN2A	controls-state-change-of	CCND3	CDKN2A controls-state-change-of CCND3	10
KIT	controls-state-change-of	FGFR2	KIT controls-state-change-of FGFR2	8
FBXW7	controls-state-change-of	MYC	FBXW7 controls-state-change-of MYC	1
PDGFRA	controls-state-change-of	AKT1	PDGFRA controls-state-change-of AKT1	4
DOT1L	controls-state-change-of	HIST1H3F	DOT1L controls-state-change-of HIST1H3F	1
FANCD2	controls-expression-of	MDC1	FANCD2 controls-expression-of MDC1	1
DOT1L	controls-state-change-of	HIST1H3B	DOT1L controls-state-change-of HIST1H3B	1
E2F3	controls-expression-of	CCND3	E2F3 controls-expression-of CCND3	1
CDH1	controls-state-change-of	PIK3CA	CDH1 controls-state-change-of PIK3CA	2
JAK2	controls-state-change-of	PRKCQ	JAK2 controls-state-change-of PRKCQ	10
CDK12	controls-expression-of	FANCD2	CDK12 controls-expression-of FANCD2	7
FBXW7	controls-state-change-of	NOTCH1	FBXW7 controls-state-change-of NOTCH1	1
ERBB2	controls-state-change-of	PIK3R1	ERBB2 controls-state-change-of PIK3R1	1
E2F3	controls-expression-of	CDKN2A	E2F3 controls-expression-of CDKN2A	1
EGFR	controls-state-change-of	ERBB2	EGFR controls-state-change-of ERBB2	10
KRAS	controls-state-change-of	AKT2	KRAS controls-state-change-of AKT2	10
RUNX1	controls-expression-of	PIK3R1	RUNX1 controls-expression-of PIK3R1	1
TP53	controls-expression-of	PTEN	TP53 controls-expression-of PTEN	2
BRCA1	controls-state-change-of	TP53	BRCA1 controls-state-change-of TP53	1
KRAS	controls-state-change-of	PIK3R1	KRAS controls-state-change-of PIK3R1	1
PAK1	controls-state-change-of	HIST1H3B	PAK1 controls-state-change-of HIST1H3B	1
RUNX1	controls-state-change-of	HIST1H3B	RUNX1 controls-state-change-of HIST1H3B	1
JAK1	controls-state-change-of	PRKCE	JAK1 controls-state-change-of PRKCE	8
FGFR2	controls-state-change-of	FGF19	FGFR2 controls-state-change-of FGF19	6
SRC	controls-state-change-of	PRKCI	SRC controls-state-change-of PRKCI	1
GATA3	controls-expression-of	UBR5	GATA3 controls-expression-of UBR5	1
CDKN2A	controls-state-change-of	TP53	CDKN2A controls-state-change-of TP53	10
AKT1	controls-expression-of	CCND1	AKT1 controls-expression-of CCND1	4
SRC	controls-state-change-of	CDK6	SRC controls-state-change-of CDK6	1
CDKN2A	controls-state-change-of	E2F3	CDKN2A controls-state-change-of E2F3	1
MYB	controls-expression-of	SF3B1	MYB controls-expression-of SF3B1	2
FGF19	controls-state-change-of	FGF4	FGF19 controls-state-change-of FGF4	9
CEBPA	controls-expression-of	AFF2	CEBPA controls-expression-of AFF2	1
FGF19	controls-state-change-of	FGF3	FGF19 controls-state-change-of FGF3	9
NTRK1	controls-state-change-of	AKT1	NTRK1 controls-state-change-of AKT1	4
FOXA1	controls-expression-of	CCND1	FOXA1 controls-expression-of CCND1	1
TP53	controls-expression-of	CDKN2A	TP53 controls-expression-of CDKN2A	10
BRAF	controls-expression-of	TG	BRAF controls-expression-of TG	1
AKT2	controls-state-change-of	MDM2	AKT2 controls-state-change-of MDM2	6
SMAD2	controls-expression-of	CDH1	SMAD2 controls-expression-of CDH1	1
MAP3K13	controls-state-change-of	AKT2	MAP3K13 controls-state-change-of AKT2	1
BRCA1	controls-expression-of	ATR	BRCA1 controls-expression-of ATR	6
FGF4	controls-state-change-of	CD79B	FGF4 controls-state-change-of CD79B	2
NBN	controls-state-change-of	BRCA1	NBN controls-state-change-of BRCA1	5
PIK3R1	controls-state-change-of	PAK1	PIK3R1 controls-state-change-of PAK1	1
TP53	controls-expression-of	CDKN1B	TP53 controls-expression-of CDKN1B	8
SRC	controls-state-change-of	PPP2CB	SRC controls-state-change-of PPP2CB	1
AXL	controls-state-change-of	AKT2	AXL controls-state-change-of AKT2	1
FGF3	controls-state-change-of	CD79B	FGF3 controls-state-change-of CD79B	2
TP53	controls-expression-of	MDM2	TP53 controls-expression-of MDM2	6
JAK1	controls-expression-of	BCL2L1	JAK1 controls-expression-of BCL2L1	7
AKT2	controls-state-change-of	CDKN1B	AKT2 controls-state-change-of CDKN1B	8
ERCC2	controls-expression-of	ATR	ERCC2 controls-expression-of ATR	1
GATA3	controls-expression-of	FOXA1	GATA3 controls-expression-of FOXA1	1
TP53	controls-state-change-of	CDKN1B	TP53 controls-state-change-of CDKN1B	8
VEGFA	controls-state-change-of	FGF4	VEGFA controls-state-change-of FGF4	4
VEGFA	controls-state-change-of	FGF3	VEGFA controls-state-change-of FGF3	4
MAP3K1	controls-state-change-of	AKT1	MAP3K1 controls-state-change-of AKT1	6
FGF3	controls-state-change-of	AKT2	FGF3 controls-state-change-of AKT2	1
FGF3	controls-state-change-of	AKT1	FGF3 controls-state-change-of AKT1	4
VEGFA	controls-state-change-of	FGFR2	VEGFA controls-state-change-of FGFR2	5
PIK3CA	controls-expression-of	CDKN1B	PIK3CA controls-expression-of CDKN1B	8
PIK3CA	controls-expression-of	VEGFA	PIK3CA controls-expression-of VEGFA	3
VEGFA	controls-state-change-of	FGF19	VEGFA controls-state-change-of FGF19	4
MYC	controls-expression-of	MTAP	MYC controls-expression-of MTAP	1
AKT1	controls-expression-of	TERT	AKT1 controls-expression-of TERT	4
ERBB2	controls-state-change-of	CD79B	ERBB2 controls-state-change-of CD79B	2
PDGFRA	controls-state-change-of	FGFR2	PDGFRA controls-state-change-of FGFR2	8
GATA3	controls-expression-of	CCND1	GATA3 controls-expression-of CCND1	1
CCND1	controls-state-change-of	RUNX1	CCND1 controls-state-change-of RUNX1	1
PDGFRA	controls-state-change-of	FGF19	PDGFRA controls-state-change-of FGF19	6
FOXA1	controls-expression-of	CDH1	FOXA1 controls-expression-of CDH1	1
ALK	controls-state-change-of	AKT1	ALK controls-state-change-of AKT1	3
KDR	controls-state-change-of	AKT1	KDR controls-state-change-of AKT1	4
AKT1	controls-state-change-of	TERT	AKT1 controls-state-change-of TERT	4
ATR	controls-expression-of	BRCA1	ATR controls-expression-of BRCA1	6
PIK3CA	controls-expression-of	UBR5	PIK3CA controls-expression-of UBR5	1
POLE	controls-state-change-of	BRIP1	POLE controls-state-change-of BRIP1	1
JAK1	controls-state-change-of	AKT1	JAK1 controls-state-change-of AKT1	4
PIK3CA	controls-expression-of	CCND3	PIK3CA controls-expression-of CCND3	10
IGF1R	controls-state-change-of	STAT5A	IGF1R controls-state-change-of STAT5A	1
IGF1R	controls-state-change-of	STAT5B	IGF1R controls-state-change-of STAT5B	1
PIK3CA	controls-expression-of	CCND1	PIK3CA controls-expression-of CCND1	1
AKT2	controls-state-change-of	XIAP	AKT2 controls-state-change-of XIAP	1
RUNX1	controls-expression-of	CTNNB1	RUNX1 controls-expression-of CTNNB1	1
NF1	controls-state-change-of	AKT2	NF1 controls-state-change-of AKT2	2
STAT5A	controls-expression-of	RARA	STAT5A controls-expression-of RARA	1
PDGFRA	controls-state-change-of	FGF3	PDGFRA controls-state-change-of FGF3	6
SRC	controls-state-change-of	CDH1	SRC controls-state-change-of CDH1	1
TP53	controls-expression-of	USH2A	TP53 controls-expression-of USH2A	2
FGF4	controls-state-change-of	FGFR1	FGF4 controls-state-change-of FGFR1	2
FGF4	controls-state-change-of	FGFR2	FGF4 controls-state-change-of FGFR2	6
BRCA1	controls-expression-of	FANCD2	BRCA1 controls-expression-of FANCD2	1
PTEN	controls-state-change-of	AKT2	PTEN controls-state-change-of AKT2	2
ERBB2	controls-state-change-of	PRKCQ	ERBB2 controls-state-change-of PRKCQ	10
RUNX1	controls-expression-of	AKT2	RUNX1 controls-expression-of AKT2	11
EGFR	controls-state-change-of	AKT2	EGFR controls-state-change-of AKT2	10
TP53	controls-expression-of	EGFR	TP53 controls-expression-of EGFR	10
JAK2	controls-state-change-of	PIK3R1	JAK2 controls-state-change-of PIK3R1	1
PAK1	controls-state-change-of	AKT2	PAK1 controls-state-change-of AKT2	10
PDGFRA	controls-state-change-of	FGF4	PDGFRA controls-state-change-of FGF4	6
EGFR	controls-state-change-of	KRAS	EGFR controls-state-change-of KRAS	10
CDK6	controls-state-change-of	AKT1	CDK6 controls-state-change-of AKT1	4
AKT1	controls-state-change-of	MAP3K1	AKT1 controls-state-change-of MAP3K1	6
RB1	controls-expression-of	E2F3	RB1 controls-expression-of E2F3	1
ERBB2	controls-expression-of	CCND1	ERBB2 controls-expression-of CCND1	1
BRCA1	controls-state-change-of	FANCD2	BRCA1 controls-state-change-of FANCD2	1
TCF3	controls-expression-of	PBRM1	TCF3 controls-expression-of PBRM1	1
GH1	controls-expression-of	CDH1	GH1 controls-expression-of CDH1	1
KMT2D	controls-state-change-of	CREBBP	KMT2D controls-state-change-of CREBBP	7
PRKAR1A	controls-state-change-of	AKT2	PRKAR1A controls-state-change-of AKT2	1
CCNE1	controls-state-change-of	RB1	CCNE1 controls-state-change-of RB1	7
CDKN1B	controls-state-change-of	RB1	CDKN1B controls-state-change-of RB1	8
BARD1	controls-state-change-of	FANCD2	BARD1 controls-state-change-of FANCD2	1
