sif	count	sd_os	mean_os	sd_TMB	mean_TMB	OSs	elseOSs	TMBs	elseTMBs
ATR controls-state-change-of MDM4	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
ERBB2 controls-state-change-of PIK3CA	11	6.407640067893126	6.818181818181818	1.2370258921507018	3.441818181818182	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[]
ERBB2 controls-state-change-of AKT2	11	6.407640067893126	6.818181818181818	1.2370258921507018	3.441818181818182	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[]
CEBPA controls-expression-of SRSF2	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
SRC controls-state-change-of KDR	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
JAK1 controls-state-change-of IKZF3	8	6.224949798994366	9.0	1.1334874282496477	3.1175	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0, 1.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95, 4.39]
RUNX1 controls-expression-of FGF4	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CHEK2 controls-state-change-of MDC1	8	6.224949798994366	9.0	1.1334874282496477	3.1175	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0, 1.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95, 4.39]
FGFR1 controls-state-change-of AKT1	3	9.201449161228174	7.0	0.6918734630616273	4.636666666666666	[0.0, 1.0, 20.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0]	[5.58, 4.39, 3.94]	[2.23, 2.63, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92]
STAT5A controls-state-change-of PRKCI	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
HIST1H3B controls-expression-of MYC	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
SOX9 controls-expression-of FGFR1	2	0.5	0.5	0.5950000000000002	4.984999999999999	[0.0, 1.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[5.58, 4.39]	[2.23, 2.63, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
STAT5B controls-state-change-of RRAS	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
MDC1 controls-expression-of FANCD2	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
TP53 controls-expression-of VEGFA	3	4.0276819911981905	7.333333333333333	0.8138932498935117	2.0533333333333332	[13.0, 5.0, 4.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[2.23, 2.95, 0.98]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 4.92, 3.94]
EGFR controls-state-change-of CDH1	1	0.0	14.0	0.0	4.92	[14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[4.92]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
TP53 controls-expression-of BRCA1	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
JAK2 controls-state-change-of KRAS	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
POLD1 controls-state-change-of BRCA1	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
ERBB2 controls-state-change-of KRAS	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
STAT5B controls-state-change-of PRKCI	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
STAT5A controls-expression-of CDK6	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
STAT5A controls-expression-of KDM6A	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CDK12 controls-expression-of BRCA1	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
MYB controls-expression-of CCND2	8	6.224949798994366	9.0	1.1334874282496477	3.1175	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0, 1.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95, 4.39]
PTEN controls-state-change-of EGFR	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
TCF3 controls-expression-of FLT3	1	0.0	14.0	0.0	4.92	[14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[4.92]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
TP53 controls-expression-of CCND1	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
EGFR controls-state-change-of PIK3R1	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
NOTCH1 controls-state-change-of STAT3	1	0.0	14.0	0.0	4.92	[14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[4.92]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
KDR controls-state-change-of SRC	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CD79B controls-state-change-of PIK3CA	2	0.5	1.5	0.7199999999999998	3.67	[2.0, 1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[2.95, 4.39]	[2.23, 2.63, 5.58, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
VEGFA controls-state-change-of AKT1	1	0.0	14.0	0.0	4.92	[14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[4.92]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
BRCA1 controls-state-change-of RB1	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
CCNE1 controls-state-change-of CDKN1B	6	7.340905181848414	8.666666666666666	0.9470788421949533	3.6750000000000003	[13.0, 2.0, 2.0, 1.0, 14.0, 20.0]	[0.0, 5.0, 2.0, 4.0, 12.0]	[2.23, 2.63, 3.94, 4.39, 4.92, 3.94]	[5.58, 2.95, 2.95, 0.98, 3.35]
VEGFA controls-state-change-of AKT2	3	4.0276819911981905	7.333333333333333	0.8138932498935117	2.0533333333333332	[13.0, 5.0, 4.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[2.23, 2.95, 0.98]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 4.92, 3.94]
BRCA1 controls-state-change-of AKT1	3	8.48528137423857	8.0	0.6175399222362515	3.5033333333333334	[2.0, 2.0, 20.0]	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[2.63, 3.94, 3.94]	[2.23, 5.58, 2.95, 2.95, 4.39, 0.98, 3.35, 4.92]
PAK1 controls-state-change-of CTNNB1	1	0.0	1.0	0.0	4.39	[1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[4.39]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
CEBPA controls-expression-of KMT2B	3	0.9428090415820634	2.6666666666666665	1.2110693163022868	2.516666666666667	[2.0, 2.0, 4.0]	[13.0, 0.0, 5.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[2.63, 3.94, 0.98]	[2.23, 5.58, 2.95, 2.95, 4.39, 3.35, 4.92, 3.94]
PTPRD controls-state-change-of VEGFA	2	0.5	4.5	0.9850000000000001	1.965	[5.0, 4.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[2.95, 0.98]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 4.92, 3.94]
EGFR controls-state-change-of JAK2	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
KRAS controls-state-change-of TP53	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
GH1 controls-expression-of TP53	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
BARD1 controls-state-change-of FANCA	1	0.0	0.0	0.0	5.58	[0.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[5.58]	[2.23, 2.63, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
STAT5B controls-expression-of RRAS	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
MYB controls-expression-of KMT2D	7	6.4554991586828585	9.571428571428571	1.2098574717878203	3.141428571428571	[13.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 5.0, 2.0, 1.0]	[2.23, 2.63, 3.94, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95, 2.95, 4.39]
TCF3 controls-expression-of NSD1	1	0.0	14.0	0.0	4.92	[14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[4.92]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
BRCA1 controls-expression-of TNFAIP3	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
FGFR2 controls-state-change-of CD79B	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
JAK2 controls-state-change-of CD79B	1	0.0	1.0	0.0	4.39	[1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[4.39]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
KDR controls-state-change-of PIK3CB	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CEBPA controls-expression-of CACNA2D3	3	4.714045207910317	5.333333333333333	0.5356823270890646	3.3066666666666666	[2.0, 2.0, 12.0]	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[2.63, 3.94, 3.35]	[2.23, 5.58, 2.95, 2.95, 4.39, 0.98, 4.92, 3.94]
FANCA controls-state-change-of FANCD2	2	1.0	1.0	1.475	4.105	[2.0, 0.0]	[13.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.63, 5.58]	[2.23, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
MYC controls-expression-of FBXW7	1	0.0	14.0	0.0	4.92	[14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[4.92]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
AURKA controls-state-change-of HIST1H3F	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
BRCA1 controls-expression-of HIST1H3B	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
NOTCH1 controls-expression-of CDH1	1	0.0	13.0	0.0	2.23	[13.0]	[2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.23]	[2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
ATR controls-state-change-of NBN	6	4.496912521077347	6.333333333333333	0.9313431161500041	2.68	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0]	[0.0, 2.0, 1.0, 14.0, 20.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35]	[5.58, 2.95, 4.39, 4.92, 3.94]
AURKA controls-state-change-of HIST1H3B	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
STAT5A controls-expression-of FBXW7	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CCNE1 controls-state-change-of BRCA1	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
PAK1 controls-state-change-of BRAF	9	6.465482900433847	6.555555555555555	1.244505950860981	3.3677777777777784	[13.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[2.0, 14.0]	[2.23, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]	[2.63, 4.92]
MDM2 controls-state-change-of FOXO3	5	7.222188034107115	10.2	1.7026567475565941	3.5300000000000002	[13.0, 0.0, 4.0, 14.0, 20.0]	[2.0, 5.0, 2.0, 2.0, 1.0, 12.0]	[2.23, 5.58, 0.98, 4.92, 3.94]	[2.63, 2.95, 2.95, 3.94, 4.39, 3.35]
PIK3CB controls-state-change-of RRAS	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
PRKCI controls-state-change-of STAT5A	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
PRKCI controls-state-change-of STAT5B	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
PIK3R1 controls-state-change-of EGFR	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
CREBBP controls-expression-of VEGFA	5	7.042726744663604	10.0	0.7556877662103576	3.7560000000000002	[2.0, 2.0, 12.0, 14.0, 20.0]	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0]	[2.63, 3.94, 3.35, 4.92, 3.94]	[2.23, 5.58, 2.95, 2.95, 4.39, 0.98]
MYC controls-expression-of FOXO3	9	6.623937138128391	7.888888888888889	1.322573249389235	3.586666666666667	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0, 2.0]	[2.23, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.63, 2.95]
CEBPA controls-expression-of NTRK1	7	6.340668863192042	8.285714285714286	0.9684449980694383	2.8600000000000003	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0, 20.0]	[0.0, 2.0, 1.0, 14.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35, 3.94]	[5.58, 2.95, 4.39, 4.92]
JAK2 controls-state-change-of PAK1	9	6.465482900433846	6.555555555555555	1.2604036194610906	3.3322222222222226	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[2.0, 14.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]	[2.95, 4.92]
RB1 controls-expression-of CDKN2A	9	6.384781288248286	8.11111111111111	1.1410369985669901	3.258888888888889	[13.0, 2.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0]	[2.23, 2.63, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95]
RAF1 controls-state-change-of MYC	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
RB1 controls-expression-of CCND3	9	6.384781288248286	8.11111111111111	1.1410369985669901	3.258888888888889	[13.0, 2.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0]	[2.23, 2.63, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95]
MYC controls-expression-of TP53	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
MYC controls-expression-of BRCA2	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
KIT controls-state-change-of FGF4	6	6.693695209341067	8.833333333333334	1.0452870419171951	2.845	[13.0, 2.0, 2.0, 4.0, 12.0, 20.0]	[0.0, 5.0, 2.0, 1.0, 14.0]	[2.23, 2.63, 3.94, 0.98, 3.35, 3.94]	[5.58, 2.95, 2.95, 4.39, 4.92]
MYC controls-expression-of BRCA1	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
KRAS controls-expression-of MYC	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
