GeneA	edgeType	GeneB	relation_sif	count
EGFR	controls-state-change-of	PIK3R1	EGFR controls-state-change-of PIK3R1	12
PIK3CA	controls-state-change-of	MTOR	PIK3CA controls-state-change-of MTOR	2
ESR1	controls-state-change-of	MEN1	ESR1 controls-state-change-of MEN1	3
CD79B	controls-state-change-of	PIK3CA	CD79B controls-state-change-of PIK3CA	2
BRCA1	controls-state-change-of	RB1	BRCA1 controls-state-change-of RB1	7
BRCA1	controls-expression-of	CCND1	BRCA1 controls-expression-of CCND1	8
BRCA1	controls-state-change-of	AKT1	BRCA1 controls-state-change-of AKT1	1
MAP3K1	controls-state-change-of	MAP2K4	MAP3K1 controls-state-change-of MAP2K4	2
FOXA1	controls-expression-of	PRDM1	FOXA1 controls-expression-of PRDM1	2
EP300	controls-expression-of	MYC	EP300 controls-expression-of MYC	1
KMT2D	controls-state-change-of	HIST2H3D	KMT2D controls-state-change-of HIST2H3D	1
EGFR	controls-state-change-of	JAK2	EGFR controls-state-change-of JAK2	11
ESR1	controls-state-change-of	CCNE1	ESR1 controls-state-change-of CCNE1	11
DNMT3B	controls-state-change-of	HIST1H3F	DNMT3B controls-state-change-of HIST1H3F	1
SMARCA4	controls-state-change-of	HIST1H3F	SMARCA4 controls-state-change-of HIST1H3F	1
AKT1	controls-state-change-of	WT1	AKT1 controls-state-change-of WT1	4
RHOA	controls-expression-of	CDH1	RHOA controls-expression-of CDH1	2
KRAS	controls-state-change-of	TP53	KRAS controls-state-change-of TP53	1
ATM	controls-expression-of	BRCA1	ATM controls-expression-of BRCA1	1
AKT1	controls-state-change-of	RPS6KB2	AKT1 controls-state-change-of RPS6KB2	1
RHOA	controls-state-change-of	AKT1	RHOA controls-state-change-of AKT1	2
FGF19	controls-state-change-of	PLCG2	FGF19 controls-state-change-of PLCG2	1
GATA3	controls-expression-of	ESR1	GATA3 controls-expression-of ESR1	5
CREBBP	controls-expression-of	GLI1	CREBBP controls-expression-of GLI1	1
ESR1	controls-expression-of	PTEN	ESR1 controls-expression-of PTEN	11
ESR1	controls-state-change-of	HIST1H3F	ESR1 controls-state-change-of HIST1H3F	6
TP53	controls-expression-of	AURKA	TP53 controls-expression-of AURKA	1
AKT1	controls-state-change-of	RICTOR	AKT1 controls-state-change-of RICTOR	2
KDR	controls-state-change-of	PIK3CA	KDR controls-state-change-of PIK3CA	2
FYN	controls-state-change-of	KIT	FYN controls-state-change-of KIT	1
ESR1	controls-state-change-of	HIST1H3B	ESR1 controls-state-change-of HIST1H3B	1
AURKA	controls-state-change-of	BRCA1	AURKA controls-state-change-of BRCA1	1
CCNE1	controls-state-change-of	BRCA1	CCNE1 controls-state-change-of BRCA1	10
FYN	controls-state-change-of	FGFR4	FYN controls-state-change-of FGFR4	1
FOXA1	controls-expression-of	IKZF3	FOXA1 controls-expression-of IKZF3	2
GLI1	controls-expression-of	MYC	GLI1 controls-expression-of MYC	1
BRCA1	controls-expression-of	HIST1H3F	BRCA1 controls-expression-of HIST1H3F	3
KIT	controls-state-change-of	PIK3R1	KIT controls-state-change-of PIK3R1	12
KIT	controls-state-change-of	PIK3R2	KIT controls-state-change-of PIK3R2	2
PTPRD	controls-state-change-of	ESR1	PTPRD controls-state-change-of ESR1	2
SYK	controls-state-change-of	FGFR1	SYK controls-state-change-of FGFR1	5
SYK	controls-state-change-of	FGFR2	SYK controls-state-change-of FGFR2	6
NF1	controls-expression-of	ALK	NF1 controls-expression-of ALK	3
TP53	controls-expression-of	IL7R	TP53 controls-expression-of IL7R	1
PIK3R1	controls-state-change-of	EGFR	PIK3R1 controls-state-change-of EGFR	12
TERT	controls-expression-of	MYC	TERT controls-expression-of MYC	6
ESR1	controls-state-change-of	SYK	ESR1 controls-state-change-of SYK	6
SYK	controls-state-change-of	FGF19	SYK controls-state-change-of FGF19	4
INSR	controls-state-change-of	PIK3CA	INSR controls-state-change-of PIK3CA	1
HIST2H3D	controls-expression-of	MYC	HIST2H3D controls-expression-of MYC	1
ATR	controls-state-change-of	KMT2A	ATR controls-state-change-of KMT2A	1
BRCA1	controls-state-change-of	ESR1	BRCA1 controls-state-change-of ESR1	8
ESR1	controls-state-change-of	KMT2D	ESR1 controls-state-change-of KMT2D	5
ERBB2	controls-state-change-of	FAT1	ERBB2 controls-state-change-of FAT1	3
KDR	controls-state-change-of	FGF19	KDR controls-state-change-of FGF19	3
JAK2	controls-state-change-of	PAK1	JAK2 controls-state-change-of PAK1	1
RB1	controls-expression-of	CDKN2A	RB1 controls-expression-of CDKN2A	3
DNMT3B	controls-state-change-of	TP53	DNMT3B controls-state-change-of TP53	1
KMT2D	controls-state-change-of	HIST1H3B	KMT2D controls-state-change-of HIST1H3B	1
RB1	controls-expression-of	CCND3	RB1 controls-expression-of CCND3	7
PRDM1	controls-expression-of	TP53	PRDM1 controls-expression-of TP53	13
DNMT1	controls-state-change-of	HIST2H3D	DNMT1 controls-state-change-of HIST2H3D	1
ESR1	controls-state-change-of	KMT2C	ESR1 controls-state-change-of KMT2C	5
KMT2D	controls-state-change-of	HIST1H3F	KMT2D controls-state-change-of HIST1H3F	3
MYC	controls-expression-of	TP53	MYC controls-expression-of TP53	14
ESR1	controls-state-change-of	CD79B	ESR1 controls-state-change-of CD79B	2
ATF2	controls-expression-of	RB1	ATF2 controls-expression-of RB1	1
MYC	controls-expression-of	BRCA1	MYC controls-expression-of BRCA1	11
ATM	controls-state-change-of	MDM2	ATM controls-state-change-of MDM2	1
KRAS	controls-expression-of	MYC	KRAS controls-expression-of MYC	1
ATR	controls-state-change-of	BARD1	ATR controls-state-change-of BARD1	1
KMT2D	controls-state-change-of	MYC	KMT2D controls-state-change-of MYC	6
JAK2	controls-state-change-of	SYK	JAK2 controls-state-change-of SYK	3
RB1	controls-expression-of	CDKN1A	RB1 controls-expression-of CDKN1A	1
RB1	controls-expression-of	CDKN1B	RB1 controls-expression-of CDKN1B	1
RUNX1	controls-expression-of	RNF43	RUNX1 controls-expression-of RNF43	1
MDM2	controls-expression-of	TP53	MDM2 controls-expression-of TP53	4
KDR	controls-state-change-of	FGFR2	KDR controls-state-change-of FGFR2	2
TP53	controls-expression-of	ESR1	TP53 controls-expression-of ESR1	16
KDR	controls-state-change-of	FGFR1	KDR controls-state-change-of FGFR1	5
RAF1	controls-state-change-of	RB1	RAF1 controls-state-change-of RB1	1
KDR	controls-state-change-of	FGFR4	KDR controls-state-change-of FGFR4	9
TP53	controls-expression-of	RB1	TP53 controls-expression-of RB1	10
SYK	controls-state-change-of	PIK3R1	SYK controls-state-change-of PIK3R1	2
ATR	controls-state-change-of	RAD21	ATR controls-state-change-of RAD21	2
PIK3R1	controls-state-change-of	SYK	PIK3R1 controls-state-change-of SYK	2
KMT2D	controls-state-change-of	EP300	KMT2D controls-state-change-of EP300	1
MDC1	controls-expression-of	ATM	MDC1 controls-expression-of ATM	1
MDC1	controls-expression-of	ATR	MDC1 controls-expression-of ATR	2
TCF3	controls-expression-of	SOX17	TCF3 controls-expression-of SOX17	1
SYK	controls-state-change-of	AKT1	SYK controls-state-change-of AKT1	4
IGF1R	controls-state-change-of	PIK3CA	IGF1R controls-state-change-of PIK3CA	4
MDM4	controls-state-change-of	MDM2	MDM4 controls-state-change-of MDM2	6
IGF1R	controls-state-change-of	AKT3	IGF1R controls-state-change-of AKT3	1
RB1	controls-expression-of	CCNE1	RB1 controls-expression-of CCNE1	10
WT1	controls-expression-of	TERT	WT1 controls-expression-of TERT	4
ATR	controls-expression-of	TP53	ATR controls-expression-of TP53	4
AKT1	controls-state-change-of	NOTCH4	AKT1 controls-state-change-of NOTCH4	2
RB1	controls-expression-of	RBL1	RB1 controls-expression-of RBL1	1
IKBKE	controls-state-change-of	AKT1	IKBKE controls-state-change-of AKT1	3
IKBKE	controls-state-change-of	AKT2	IKBKE controls-state-change-of AKT2	3
AKT2	controls-state-change-of	ESR1	AKT2 controls-state-change-of ESR1	2
ATR	controls-state-change-of	BLM	ATR controls-state-change-of BLM	2
NOTCH1	controls-expression-of	GATA3	NOTCH1 controls-expression-of GATA3	1
IFNGR1	controls-state-change-of	JAK2	IFNGR1 controls-state-change-of JAK2	1
NF1	controls-expression-of	ERBB2	NF1 controls-expression-of ERBB2	8
TP53	controls-expression-of	TSC2	TP53 controls-expression-of TSC2	5
KIT	controls-state-change-of	RHOA	KIT controls-state-change-of RHOA	1
YES1	controls-state-change-of	PAK1	YES1 controls-state-change-of PAK1	1
RET	controls-state-change-of	PIK3R1	RET controls-state-change-of PIK3R1	2
MYC	controls-state-change-of	TP53	MYC controls-state-change-of TP53	14
ATR	controls-state-change-of	ATM	ATR controls-state-change-of ATM	1
YES1	controls-state-change-of	ERBB2	YES1 controls-state-change-of ERBB2	1
ATR	controls-state-change-of	HIST1H4B	ATR controls-state-change-of HIST1H4B	1
PTEN	controls-expression-of	CCND1	PTEN controls-expression-of CCND1	10
TP53	controls-expression-of	SH2D1A	TP53 controls-expression-of SH2D1A	1
ESR1	controls-state-change-of	NCOR1	ESR1 controls-state-change-of NCOR1	1
ATM	controls-expression-of	MDC1	ATM controls-expression-of MDC1	1
ERBB2	controls-state-change-of	CDH1	ERBB2 controls-state-change-of CDH1	4
ESR1	controls-state-change-of	FGFR2	ESR1 controls-state-change-of FGFR2	12
ESR1	controls-state-change-of	FGFR1	ESR1 controls-state-change-of FGFR1	10
HIST1H3F	controls-state-change-of	HIST1H4B	HIST1H3F controls-state-change-of HIST1H4B	1
ATM	controls-state-change-of	BRCA1	ATM controls-state-change-of BRCA1	1
MYC	controls-expression-of	CCNE1	MYC controls-expression-of CCNE1	15
KIT	controls-state-change-of	SYK	KIT controls-state-change-of SYK	2
FLT3	controls-state-change-of	FYN	FLT3 controls-state-change-of FYN	1
NOTCH1	controls-expression-of	CCND1	NOTCH1 controls-expression-of CCND1	3
BARD1	controls-state-change-of	TP53	BARD1 controls-state-change-of TP53	1
GLI3	controls-expression-of	KIT	GLI3 controls-expression-of KIT	1
AKT1	controls-state-change-of	TP53	AKT1 controls-state-change-of TP53	10
ESR1	controls-state-change-of	FGF19	ESR1 controls-state-change-of FGF19	11
ERBB2	controls-state-change-of	FGF3	ERBB2 controls-state-change-of FGF3	1
ERBB2	controls-state-change-of	FGF4	ERBB2 controls-state-change-of FGF4	1
NF1	controls-expression-of	ESR1	NF1 controls-expression-of ESR1	6
ESR1	controls-state-change-of	NOTCH1	ESR1 controls-state-change-of NOTCH1	3
MAP2K4	controls-state-change-of	TP53	MAP2K4 controls-state-change-of TP53	2
NTRK3	controls-state-change-of	AKT1	NTRK3 controls-state-change-of AKT1	1
KMT2A	controls-state-change-of	HIST1H3F	KMT2A controls-state-change-of HIST1H3F	1
MTOR	controls-expression-of	PTEN	MTOR controls-expression-of PTEN	1
AKT2	controls-state-change-of	RPS6KB2	AKT2 controls-state-change-of RPS6KB2	1
ESR1	controls-state-change-of	RHOA	ESR1 controls-state-change-of RHOA	2
NOTCH1	controls-state-change-of	HIST1H3F	NOTCH1 controls-state-change-of HIST1H3F	1
CDKN2A	controls-state-change-of	MDM2	CDKN2A controls-state-change-of MDM2	1
PIK3CA	controls-state-change-of	FGF3	PIK3CA controls-state-change-of FGF3	1
PIK3CA	controls-state-change-of	FGF4	PIK3CA controls-state-change-of FGF4	1
MYC	controls-expression-of	CCND2	MYC controls-expression-of CCND2	2
MYC	controls-expression-of	CCND1	MYC controls-expression-of CCND1	12
MET	controls-state-change-of	FGFR4	MET controls-state-change-of FGFR4	1
ATR	controls-state-change-of	TP53	ATR controls-state-change-of TP53	4
CDKN2A	controls-state-change-of	RB1	CDKN2A controls-state-change-of RB1	3
RB1	controls-expression-of	MYC	RB1 controls-expression-of MYC	10
RHOA	controls-state-change-of	PIK3CA	RHOA controls-state-change-of PIK3CA	2
CCND1	controls-state-change-of	HIST1H3F	CCND1 controls-state-change-of HIST1H3F	1
TP53	controls-expression-of	MAP3K13	TP53 controls-expression-of MAP3K13	1
MDM2	controls-state-change-of	TP53	MDM2 controls-state-change-of TP53	4
ESR1	controls-state-change-of	TP53	ESR1 controls-state-change-of TP53	16
MYC	controls-expression-of	IGF1R	MYC controls-expression-of IGF1R	4
BRCA1	controls-state-change-of	CCND1	BRCA1 controls-state-change-of CCND1	8
FGFR4	controls-state-change-of	FGF4	FGFR4 controls-state-change-of FGF4	1
BRCA1	controls-expression-of	MYC	BRCA1 controls-expression-of MYC	11
TCF3	controls-expression-of	CCND2	TCF3 controls-expression-of CCND2	1
ERBB2	controls-state-change-of	JAK2	ERBB2 controls-state-change-of JAK2	12
HIST1H3F	controls-expression-of	CCND1	HIST1H3F controls-expression-of CCND1	1
YES1	controls-state-change-of	FGFR1	YES1 controls-state-change-of FGFR1	1
BRCA1	controls-expression-of	MDC1	BRCA1 controls-expression-of MDC1	2
YES1	controls-state-change-of	FGFR2	YES1 controls-state-change-of FGFR2	1
YES1	controls-state-change-of	FGFR4	YES1 controls-state-change-of FGFR4	3
FGFR1	controls-state-change-of	FGF19	FGFR1 controls-state-change-of FGF19	8
HNF1A	controls-expression-of	KMT2A	HNF1A controls-expression-of KMT2A	1
FGFR1	controls-state-change-of	FGFR4	FGFR1 controls-state-change-of FGFR4	3
KMT2C	controls-state-change-of	HIST1H3F	KMT2C controls-state-change-of HIST1H3F	5
AKT2	controls-state-change-of	MAP3K1	AKT2 controls-state-change-of MAP3K1	2
KMT2C	controls-state-change-of	HIST1H3B	KMT2C controls-state-change-of HIST1H3B	1
RB1	controls-expression-of	CCNA2	RB1 controls-expression-of CCNA2	1
FGFR1	controls-state-change-of	FGFR2	FGFR1 controls-state-change-of FGFR2	10
PIK3CA	controls-state-change-of	NTRK1	PIK3CA controls-state-change-of NTRK1	1
EGFR	controls-state-change-of	MTOR	EGFR controls-state-change-of MTOR	1
PTEN	controls-state-change-of	MTOR	PTEN controls-state-change-of MTOR	1
HLA-A	controls-state-change-of	PIK3CA	HLA-A controls-state-change-of PIK3CA	1
MYD88	controls-state-change-of	SYK	MYD88 controls-state-change-of SYK	1
JAK2	controls-state-change-of	IFNGR1	JAK2 controls-state-change-of IFNGR1	1
ESR1	controls-state-change-of	EP300	ESR1 controls-state-change-of EP300	1
ATR	controls-state-change-of	BRCA1	ATR controls-state-change-of BRCA1	3
HIST1H4B	controls-expression-of	MYC	HIST1H4B controls-expression-of MYC	1
JAK2	controls-state-change-of	PIK3CA	JAK2 controls-state-change-of PIK3CA	13
PIK3CA	controls-state-change-of	EGFR	PIK3CA controls-state-change-of EGFR	12
NF1	controls-expression-of	AXIN2	NF1 controls-expression-of AXIN2	2
MTOR	controls-state-change-of	ESR1	MTOR controls-state-change-of ESR1	2
IGF1R	controls-expression-of	EGFR	IGF1R controls-expression-of EGFR	4
PARP1	controls-state-change-of	PIK3CA	PARP1 controls-state-change-of PIK3CA	1
TERT	controls-expression-of	CCND1	TERT controls-expression-of CCND1	6
GATA3	controls-expression-of	ERBB2	GATA3 controls-expression-of ERBB2	4
ESR1	controls-state-change-of	CCND1	ESR1 controls-state-change-of CCND1	12
TP53	controls-state-change-of	PIK3CA	TP53 controls-state-change-of PIK3CA	21
BRCA1	controls-state-change-of	MDC1	BRCA1 controls-state-change-of MDC1	2
AR	controls-state-change-of	ESR1	AR controls-state-change-of ESR1	1
FGFR2	controls-state-change-of	AKT1	FGFR2 controls-state-change-of AKT1	4
TP53	controls-state-change-of	PARP1	TP53 controls-state-change-of PARP1	1
PIK3R1	controls-state-change-of	MTOR	PIK3R1 controls-state-change-of MTOR	1
FGFR2	controls-state-change-of	AKT2	FGFR2 controls-state-change-of AKT2	1
FGFR2	controls-state-change-of	AKT3	FGFR2 controls-state-change-of AKT3	1
NOTCH1	controls-state-change-of	AKT1	NOTCH1 controls-state-change-of AKT1	1
EGFR	controls-state-change-of	SYK	EGFR controls-state-change-of SYK	2
ARID2	controls-state-change-of	HIST1H4B	ARID2 controls-state-change-of HIST1H4B	1
CREBBP	controls-expression-of	KIT	CREBBP controls-expression-of KIT	1
CDK9	controls-state-change-of	RB1	CDK9 controls-state-change-of RB1	1
IGF1R	controls-expression-of	CCND3	IGF1R controls-expression-of CCND3	2
ARID2	controls-state-change-of	HIST1H3F	ARID2 controls-state-change-of HIST1H3F	3
PDGFRA	controls-state-change-of	PIK3R1	PDGFRA controls-state-change-of PIK3R1	2
SMARCA4	controls-expression-of	CCND1	SMARCA4 controls-expression-of CCND1	1
RICTOR	controls-state-change-of	AKT1	RICTOR controls-state-change-of AKT1	2
ATR	controls-state-change-of	CDKN2A	ATR controls-state-change-of CDKN2A	1
IGF1R	controls-expression-of	CCND1	IGF1R controls-expression-of CCND1	3
MEN1	controls-state-change-of	HIST1H3F	MEN1 controls-state-change-of HIST1H3F	2
NOTCH1	controls-expression-of	MYC	NOTCH1 controls-expression-of MYC	5
KDR	controls-state-change-of	FGF4	KDR controls-state-change-of FGF4	1
RB1	controls-expression-of	RET	RB1 controls-expression-of RET	2
AHR	controls-state-change-of	RB1	AHR controls-state-change-of RB1	1
RARA	controls-state-change-of	AKT1	RARA controls-state-change-of AKT1	4
PRKDC	controls-state-change-of	AKT1	PRKDC controls-state-change-of AKT1	4
EGFR	controls-state-change-of	RHOA	EGFR controls-state-change-of RHOA	1
AKT1	controls-state-change-of	NCOR1	AKT1 controls-state-change-of NCOR1	2
ARID2	controls-state-change-of	HIST1H3B	ARID2 controls-state-change-of HIST1H3B	1
FGF19	controls-state-change-of	FGFR4	FGF19 controls-state-change-of FGFR4	1
FGF19	controls-state-change-of	FGFR2	FGF19 controls-state-change-of FGFR2	10
FGF19	controls-state-change-of	FGFR1	FGF19 controls-state-change-of FGFR1	8
PIK3CA	controls-state-change-of	PLCG2	PIK3CA controls-state-change-of PLCG2	1
CDKN2A	controls-state-change-of	GLI3	CDKN2A controls-state-change-of GLI3	1
PBRM1	controls-state-change-of	HIST1H3F	PBRM1 controls-state-change-of HIST1H3F	1
RUNX1	controls-state-change-of	HIST2H3D	RUNX1 controls-state-change-of HIST2H3D	1
RB1	controls-expression-of	ARID4A	RB1 controls-expression-of ARID4A	1
NF1	controls-expression-of	RUNX1	NF1 controls-expression-of RUNX1	3
MYC	controls-expression-of	TSC2	MYC controls-expression-of TSC2	6
RAD51C	controls-state-change-of	BRCA1	RAD51C controls-state-change-of BRCA1	1
ARID1B	controls-state-change-of	HIST1H3F	ARID1B controls-state-change-of HIST1H3F	1
CEBPA	controls-expression-of	SOX2	CEBPA controls-expression-of SOX2	1
AKT1	controls-state-change-of	CBFB	AKT1 controls-state-change-of CBFB	3
FGF3	controls-state-change-of	FGF4	FGF3 controls-state-change-of FGF4	1
AKT1	controls-state-change-of	MDM2	AKT1 controls-state-change-of MDM2	6
PIK3R2	controls-state-change-of	EGFR	PIK3R2 controls-state-change-of EGFR	2
FGF4	controls-state-change-of	AKT2	FGF4 controls-state-change-of AKT2	1
RB1	controls-expression-of	TOPBP1	RB1 controls-expression-of TOPBP1	1
AKT1	controls-state-change-of	MDM4	AKT1 controls-state-change-of MDM4	9
JAK2	controls-state-change-of	AKT1	JAK2 controls-state-change-of AKT1	2
FGF4	controls-state-change-of	AKT1	FGF4 controls-state-change-of AKT1	1
TP53	controls-state-change-of	AKT1	TP53 controls-state-change-of AKT1	10
JAK2	controls-state-change-of	AKT2	JAK2 controls-state-change-of AKT2	3
CDKN2A	controls-state-change-of	GLI1	CDKN2A controls-state-change-of GLI1	1
ESR1	controls-state-change-of	MTOR	ESR1 controls-state-change-of MTOR	2
KIT	controls-state-change-of	FYN	KIT controls-state-change-of FYN	1
CREBBP	controls-state-change-of	RB1	CREBBP controls-state-change-of RB1	1
AKT1	controls-state-change-of	BRCA1	AKT1 controls-state-change-of BRCA1	1
PTEN	controls-expression-of	AKT1	PTEN controls-expression-of AKT1	2
PIK3R1	controls-state-change-of	TP53	PIK3R1 controls-state-change-of TP53	12
PIK3CA	controls-state-change-of	CD79B	PIK3CA controls-state-change-of CD79B	2
NF1	controls-expression-of	KIT	NF1 controls-expression-of KIT	2
CDK2	controls-state-change-of	RB1	CDK2 controls-state-change-of RB1	1
FGFR2	controls-state-change-of	PLCG2	FGFR2 controls-state-change-of PLCG2	1
FGFR2	controls-state-change-of	PIK3CA	FGFR2 controls-state-change-of PIK3CA	13
ESR1	controls-state-change-of	PIK3CA	ESR1 controls-state-change-of PIK3CA	19
MYC	controls-expression-of	PLCG2	MYC controls-expression-of PLCG2	1
PAX5	controls-expression-of	ERBB2	PAX5 controls-expression-of ERBB2	1
FGF19	controls-state-change-of	CD79B	FGF19 controls-state-change-of CD79B	1
GLI1	controls-expression-of	CCND1	GLI1 controls-expression-of CCND1	1
MYC	controls-state-change-of	HIST1H3B	MYC controls-state-change-of HIST1H3B	1
CDKN1A	controls-state-change-of	RB1	CDKN1A controls-state-change-of RB1	1
ESR1	controls-expression-of	BRCA1	ESR1 controls-expression-of BRCA1	8
PIK3CA	controls-state-change-of	AKT1	PIK3CA controls-state-change-of AKT1	9
ESR1	controls-expression-of	MYC	ESR1 controls-expression-of MYC	13
PIK3CA	controls-state-change-of	AKT2	PIK3CA controls-state-change-of AKT2	2
PIK3CA	controls-state-change-of	AKT3	PIK3CA controls-state-change-of AKT3	1
ESR1	controls-state-change-of	RB1	ESR1 controls-state-change-of RB1	10
FOXA1	controls-expression-of	CBFB	FOXA1 controls-expression-of CBFB	3
EP300	controls-state-change-of	RB1	EP300 controls-state-change-of RB1	2
ATM	controls-state-change-of	MDC1	ATM controls-state-change-of MDC1	1
MYC	controls-expression-of	ERBB2	MYC controls-expression-of ERBB2	17
RB1	controls-state-change-of	HIST1H3F	RB1 controls-state-change-of HIST1H3F	3
FGFR4	controls-state-change-of	AKT2	FGFR4 controls-state-change-of AKT2	9
POLE	controls-state-change-of	RAD50	POLE controls-state-change-of RAD50	1
TP53	controls-expression-of	BCOR	TP53 controls-expression-of BCOR	2
RB1	controls-state-change-of	HIST1H3B	RB1 controls-state-change-of HIST1H3B	1
ESR1	controls-state-change-of	MYC	ESR1 controls-state-change-of MYC	13
RAF1	controls-expression-of	RB1	RAF1 controls-expression-of RB1	1
FGFR2	controls-state-change-of	SYK	FGFR2 controls-state-change-of SYK	6
FGFR4	controls-state-change-of	AKT1	FGFR4 controls-state-change-of AKT1	10
KIT	controls-state-change-of	FGFR1	KIT controls-state-change-of FGFR1	7
CD79B	controls-state-change-of	PIK3R1	CD79B controls-state-change-of PIK3R1	1
PIK3CA	controls-state-change-of	PIK3R1	PIK3CA controls-state-change-of PIK3R1	14
JAK2	controls-state-change-of	MAP3K1	JAK2 controls-state-change-of MAP3K1	6
MDC1	controls-expression-of	BRCA1	MDC1 controls-expression-of BRCA1	2
KIT	controls-state-change-of	FGF19	KIT controls-state-change-of FGF19	10
NOTCH4	controls-expression-of	FLT4	NOTCH4 controls-expression-of FLT4	1
