Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0016691	MUT	KMT2B	19q13.12	9 (0.80%)	1 (0.07%)	3.42	5.006E-03	0.0266	Co-occurrence
P-0016691	MUT	POLQ	3q13.33	9 (0.80%)	1 (0.07%)	3.42	5.006E-03	0.0266	Co-occurrence
P-0016691	MUT	PPP2R1A	19q13.41	9 (0.80%)	1 (0.07%)	3.42	5.006E-03	0.0266	Co-occurrence
P-0016691	MUT	SMARCD1	12q13.12	9 (0.80%)	1 (0.07%)	3.42	5.006E-03	0.0266	Co-occurrence
P-0016691	MUT	ROS1	6q22.1	44 (3.89%)	28 (2.08%)	0.9	5.4E-03	0.0285	Co-occurrence
P-0016691	MUT	PDGFRB	5q32	21 (1.86%)	9 (0.67%)	1.47	5.908E-03	0.031	Co-occurrence
P-0016691	MUT	BRCA1	17q21.31	31 (2.74%)	17 (1.26%)	1.12	5.988E-03	0.0312	Co-occurrence
P-0016691	MUT	ALK	2p23.2-p23.1	32 (2.83%)	18 (1.34%)	1.08	6.436E-03	0.0332	Co-occurrence
P-0016691	MUT	PTPRD	9p24.1-p23	22 (1.95%)	10 (0.74%)	1.39	6.803E-03	0.0349	Co-occurrence
P-0016691	MUT	INSR	19p13.2	12 (1.06%)	3 (0.22%)	2.25	7.154E-03	0.0356	Co-occurrence
P-0016691	MUT	MRE11	11q21	12 (1.06%)	3 (0.22%)	2.25	7.154E-03	0.0356	Co-occurrence
P-0016691	MUT	SMAD2	18q21.1	12 (1.06%)	3 (0.22%)	2.25	7.154E-03	0.0356	Co-occurrence
P-0016691	MUT	SUZ12	17q11.2	12 (1.06%)	3 (0.22%)	2.25	7.154E-03	0.0356	Co-occurrence
P-0016691	MUT	HIST1H3F	6p22.2	15 (1.33%)	5 (0.37%)	1.84	7.386E-03	0.0365	Co-occurrence
P-0016691	MUT	TSC2	16p13.3	35 (3.10%)	21 (1.56%)	0.99	7.709E-03	0.0378	Co-occurrence
P-0016691	MUT	BRCA2	13q13.1	45 (3.98%)	30 (2.23%)	0.84	7.944E-03	0.0387	Co-occurrence
P-0016691	MUT	DIS3	13q21.33	19 (1.68%)	8 (0.59%)	1.5	8.05E-03	0.0387	Co-occurrence
P-0016691	MUT	PMS1	2q32.2	19 (1.68%)	8 (0.59%)	1.5	8.05E-03	0.0387	Co-occurrence
P-0016691	MUT	ACVR1	2q24.1	10 (0.88%)	2 (0.15%)	2.57	8.791E-03	0.0389	Co-occurrence
P-0016691	MUT	GATA3	10p14	10 (0.88%)	2 (0.15%)	2.57	8.791E-03	0.0389	Co-occurrence
P-0016691	MUT	NFE2L2	2q31.2	10 (0.88%)	2 (0.15%)	2.57	8.791E-03	0.0389	Co-occurrence
P-0016691	MUT	STAT3	17q21.2	10 (0.88%)	2 (0.15%)	2.57	8.791E-03	0.0389	Co-occurrence
P-0016691	MUT	USP28	11q23.2	10 (0.88%)	2 (0.15%)	2.57	8.791E-03	0.0389	Co-occurrence
P-0016691	MUT	CHEK1	11q24.2	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	DROSHA	5p13.3	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	FOXO1	13q14.11	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	MAPK3	16p11.2	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	PIK3R3	1p34.1	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	PIM1	6p21.2	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	RAD54L	1p34.1	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	RPS6KB2	11q13.2	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	RTEL1	20q13.33	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	STK40	1p34.3	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	XIAP	Xq25	6 (0.53%)	0 (0.00%)	>10	8.992E-03	0.0389	Co-occurrence
P-0016691	MUT	ASXL1	20q11.21	39 (3.45%)	25 (1.86%)	0.89	9.216E-03	0.0396	Co-occurrence
P-0016691	MUT	MLH1	3p22.2	20 (1.77%)	9 (0.67%)	1.4	9.302E-03	0.0397	Co-occurrence
P-0016691	MUT	NUP93	16q13	8 (0.71%)	1 (0.07%)	3.25	9.987E-03	0.0414	Co-occurrence
P-0016691	MUT	PIK3R2	19p13.11	8 (0.71%)	1 (0.07%)	3.25	9.987E-03	0.0414	Co-occurrence
P-0016691	MUT	RAD51D	17q12	8 (0.71%)	1 (0.07%)	3.25	9.987E-03	0.0414	Co-occurrence
P-0016691	MUT	RIF1	2q23.3	8 (0.71%)	1 (0.07%)	3.25	9.987E-03	0.0414	Co-occurrence
P-0016691	MUT	TGFBR2	3p24.1	8 (0.71%)	1 (0.07%)	3.25	9.987E-03	0.0414	Co-occurrence
P-0016691	MUT	EP300	22q13.2	33 (2.92%)	20 (1.49%)	0.97	0.0104	0.0427	Co-occurrence
P-0016691	MUT	ERCC3	2q14.3	17 (1.50%)	7 (0.52%)	1.53	0.011	0.0447	Co-occurrence
P-0016691	MUT	TSC1	9q34.13	17 (1.50%)	7 (0.52%)	1.53	0.011	0.0447	Co-occurrence
P-0016691	MUT	DICER1	14q32.13	28 (2.48%)	16 (1.19%)	1.06	0.0118	0.0479	Co-occurrence
P-0016691	MUT	BCOR	Xp11.4	37 (3.27%)	24 (1.78%)	0.88	0.0123	0.0492	Co-occurrence
P-0016691	MUT	FKBP9	7p14.3	1 (0.09%)	10 (0.74%)	-3.07	0.0124	0.0492	Mutual exclusivity
P-0016691	MUT	NF2	22q12.2	14 (1.24%)	5 (0.37%)	1.74	0.0124	0.0492	Co-occurrence
P-0016691	MUT	RAD21	8q24.11	14 (1.24%)	5 (0.37%)	1.74	0.0124	0.0492	Co-occurrence
P-0016691	DEL	CDKN2B	9p21.3	432 (38.23%)	148 (11.00%)	1.8	2.51E-58	7.27E-56	Co-occurrence
P-0016691	DEL	CDKN2A	9p21.3	454 (40.18%)	167 (12.42%)	1.69	9.64E-58	1.4E-55	Co-occurrence
P-0016691	DEL	GATA3	10p14	32 (2.83%)	2 (0.15%)	4.25	1.78E-09	1.64E-07	Co-occurrence
P-0016691	DEL	ARID5B	10q21.2	39 (3.45%)	5 (0.37%)	3.21	2.26E-09	1.64E-07	Co-occurrence
P-0016691	DEL	ERRFI1	1p36.23	20 (1.77%)	0 (0.00%)	>10	1.41E-07	8.194E-06	Co-occurrence
P-0016691	DEL	TEK	9p21.2	22 (1.95%)	1 (0.07%)	4.71	3.77E-07	1.822E-05	Co-occurrence
P-0016691	DEL	PIK3CD	1p36.22	17 (1.50%)	0 (0.00%)	>10	1.524E-06	6.313E-05	Co-occurrence
P-0016691	DEL	PTEN	10q23.31	69 (6.11%)	34 (2.53%)	1.27	6.824E-06	2.474E-04	Co-occurrence
P-0016691	DEL	RET	10q11.21	17 (1.50%)	2 (0.15%)	3.34	8.549E-05	2.755E-03	Co-occurrence
P-0016691	DEL	TNFRSF14	1p36.32	11 (0.97%)	0 (0.00%)	>10	1.75E-04	5.075E-03	Co-occurrence
P-0016691	DEL	TP53	17p13.1	13 (1.15%)	1 (0.07%)	3.95	2.922E-04	7.705E-03	Co-occurrence
P-0016691	DEL	RAC2	22q13.1	10 (0.88%)	0 (0.00%)	>10	3.851E-04	9.307E-03	Co-occurrence
P-0016691	AMP	EGFR	7p11.2	348 (30.80%)	78 (5.80%)	2.41	3.51E-63	8.32E-61	Co-occurrence
P-0016691	AMP	MDM4	1q32.1	61 (5.40%)	12 (0.89%)	2.6	1.31E-11	1.55E-09	Co-occurrence
P-0016691	AMP	CDK4	12q14.1	114 (10.09%)	58 (4.31%)	1.23	1.34E-08	1.061E-06	Co-occurrence
P-0016691	AMP	MDM2	12q15	65 (5.75%)	27 (2.01%)	1.52	6.95E-07	4.115E-05	Co-occurrence
P-0016691	AMP	GLI1	12q13.3	44 (3.89%)	17 (1.26%)	1.62	2.046E-05	9.698E-04	Co-occurrence
P-0016691	AMP	SOX2	3q26.33	46 (4.07%)	20 (1.49%)	1.45	5.521E-05	2.181E-03	Co-occurrence
P-0016691	AMP	PIK3C2B	1q32.1	25 (2.21%)	9 (0.67%)	1.73	8.561E-04	0.029	Co-occurrence
P-0016256	MUT	IDH1	2q34	160 (13.86%)	541 (40.95%)	-1.56	1.2E-52	8.3E-50	Mutual exclusivity
P-0016256	MUT	ATRX	Xq21.1	79 (6.85%)	296 (22.41%)	-1.71	1.03E-28	3.57E-26	Mutual exclusivity
P-0016256	MUT	CIC	19q13.2	111 (9.62%)	17 (1.29%)	2.9	2.88E-22	6.62E-20	Co-occurrence
P-0016256	MUT	TP53	17p13.1	315 (27.30%)	591 (44.74%)	-0.71	1.16E-19	1.99E-17	Mutual exclusivity
P-0016256	MUT	RB1	13q14.2	130 (11.27%)	40 (3.03%)	1.9	2.06E-16	2.84E-14	Co-occurrence
P-0016256	MUT	STAG2	Xq25	68 (5.89%)	12 (0.91%)	2.7	5.08E-13	5.84E-11	Co-occurrence
P-0016256	MUT	FUBP1	1p31.1	37 (3.21%)	2 (0.15%)	4.4	9.12E-11	8.99E-09	Co-occurrence
P-0016256	MUT	NF1	17q11.2	186 (16.12%)	114 (8.63%)	0.9	8.63E-09	7.44E-07	Co-occurrence
P-0016256	MUT	H3F3B	17q25.1	5 (0.43%)	46 (3.48%)	-3.01	1.26E-08	9.68E-07	Mutual exclusivity
P-0016256	MUT	NSD1	5q35.3	32 (2.77%)	3 (0.23%)	3.61	2.21E-08	1.522E-06	Co-occurrence
P-0016256	MUT	PIK3R1	5q13.1	105 (9.10%)	54 (4.09%)	1.15	2.76E-07	1.733E-05	Co-occurrence
P-0016256	MUT	SETD2	3p21.31	84 (7.28%)	38 (2.88%)	1.34	3.12E-07	1.796E-05	Co-occurrence
P-0016256	MUT	FLT4	5q35.3	48 (4.16%)	15 (1.14%)	1.87	1.252E-06	6.644E-05	Co-occurrence
P-0016256	MUT	GRIN2A	16p13.2	23 (1.99%)	2 (0.15%)	3.72	1.986E-06	9.786E-05	Co-occurrence
P-0016256	MUT	AXIN2	17q24.1	17 (1.47%)	0 (0.00%)	>10	2.184E-06	1.005E-04	Co-occurrence
P-0016256	MUT	CARD11	7p22.2	35 (3.03%)	8 (0.61%)	2.32	2.477E-06	1.068E-04	Co-occurrence
P-0016256	MUT	FGFR3	4p16.3	40 (3.47%)	11 (0.83%)	2.06	2.769E-06	1.124E-04	Co-occurrence
P-0016256	MUT	PBRM1	3p21.1	34 (2.95%)	8 (0.61%)	2.28	4.408E-06	1.634E-04	Co-occurrence
P-0016256	MUT	IRS1	2q36.3	16 (1.39%)	0 (0.00%)	>10	4.719E-06	1.634E-04	Co-occurrence
P-0016256	MUT	MGA	15q15.1	24 (2.08%)	3 (0.23%)	3.19	4.974E-06	1.634E-04	Co-occurrence
P-0016256	MUT	PIK3CG	7q22.3	24 (2.08%)	3 (0.23%)	3.19	4.974E-06	1.634E-04	Co-occurrence
